City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page,price_per_m2
Bizerte,Terrain habitation ind. en vente,,595000,540,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47192.html,,,1,1101.851851851852
Bizerte,Terrain habitation ind. en vente,,144000,180,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45894.html,,,1,800.0
Bizerte,Terrain habitation ind. en vente,,290000,414,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47265.html,,,1,700.4830917874397
Bizerte,Terrain habitation ind. en vente,,562900,866,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/48189.html,,,1,650.0
Bizerte,Terrain habitation ind. en vente,,820400,2344,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/51581.html,,,1,350.0
Bizerte,Terrain agricole en vente,,80000,6025,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/50898.html,,,1,13.278008298755188
Bizerte,Terrain habitation ind. en vente,,720000,576,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45665.html,,,1,1250.0
Bizerte,Terrain habitation ind. en vente,,595000,540,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47192.html,,,2,1101.851851851852
Bizerte,Terrain habitation ind. en vente,,144000,180,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45894.html,,,2,800.0
Bizerte,Terrain habitation ind. en vente,,290000,414,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47265.html,,,2,700.4830917874397
Bizerte,Terrain habitation ind. en vente,,562900,866,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/48189.html,,,2,650.0
Bizerte,Terrain habitation ind. en vente,,820400,2344,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/51581.html,,,2,350.0
Bizerte,Terrain agricole en vente,,80000,6025,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/50898.html,,,2,13.278008298755188
Bizerte,Terrain habitation ind. en vente,,720000,576,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/45665.html,,,2,1250.0
Bizerte,Terrain habitation ind. en vente,,595000,540,Bizerte,https://www.tecnocasa.tn/vendre/terrain/bizerte/bizerte/47192.html,,,3,1101.851851851852
