City,Title,Price,Surface,Location,URL,price_per_m2
Grand Tunis,Terrain habitation ind. en vente,650000.0,325,La Soukra - Chotrana,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/55711.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1092000.0,546,"La Soukra, Avenue Faatouma - Soukra",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/51895.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,890000.0,445,"La Manouba, Cité Ben Younes - Manouba",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-manouba/53545.html,2000.0
Grand Tunis,Terrain habitation collective en vente,858000.0,429,Ariana - Cité El Ghazala,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/53366.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,700000.0,350,La Soukra - Borj Louzir,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/54412.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,808000.0,404,La Soukra - Soukra,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/51419.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,984000.0,492,La Marsa,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-marsa/55050.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1340000.0,670,El Menzah - Menzah 5,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/el-menzah/48742.html,2000.0
Grand Tunis,Terrain habitation collective en vente,760000.0,380,Lafayette Centre Ville - Lafayette,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/lafayette-centre-ville/38669.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1488000.0,744,La Marsa,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-marsa/51868.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,876000.0,438,"Le Bardo, 9  rue khartaj - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/55199.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1424000.0,712,"Le Bardo, Rue 5 - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/54775.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1732000.0,866,"Le Bardo, Rue Sadikia - Khaznadar",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/54826.html,2000.0
Grand Tunis,Terrain habitation collective en vente,514000.0,257,"Ariana, Rue saafa cité el ghazela - Cité El Ghazala",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/51312.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,670000.0,335,"Bou Mhel El-Bassatine, Avenue de paris - Boumhal El Basatine",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/bou-mhel-el-bassatine/54971.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,574000.0,287,La Soukra - Borj Louzir,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/51596.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,868000.0,434,Gammarth,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/gammarth/49257.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,3290000.0,1645,La Marsa - Cité Bhar Lazreg,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-marsa/54631.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,716000.0,358,Jardins d'El Menzah - Jardins D'El Menzah 2,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/jardins-d-el-menzah/48776.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,916000.0,458,Ariana - Ariana Ville,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/53475.html,2000.0
Grand Tunis,Terrain habitation collective en vente,1064000.0,532,Ariana - Ariana Ville,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/53275.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1248000.0,624,La Soukra - Soukra,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/54268.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,740000.0,370,"Medina Jedida, Rue de constantine - Madina Jadida",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/medina-jedida/53736.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1400000.0,700,Bou Mhel El-Bassatine - Cité Belaire,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/bou-mhel-el-bassatine/50488.html,2000.0
Grand Tunis,Terrain habitation collective en vente,932000.0,466,Ariana - Riadh Landalous,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/48840.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1462000.0,731,El Menzah - Menzah 6,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/el-menzah/53745.html,2000.0
Grand Tunis,Terrain habitation collective en vente,1300000.0,650,"La Soukra, Rue Jaber Ibn Hayen - Soukra",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/52959.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1000000.0,500,La Soukra - Chotrana,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/50351.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1000000.0,500,"La Soukra, Impasse frigui - Soukra",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/52259.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1206000.0,603,"La Soukra, Unnamed Road - Soukra",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/53531.html,2000.0
Grand Tunis,Terrain habitation collective en vente,1230000.0,615,Ariana - Riadh Landalous,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/46550.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,800000.0,400,Ariana - Riadh Landalous,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/40650.html,2000.0
