City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page,price_per_m2
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,1,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,1,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,1,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,1,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,1,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,1,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,1,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,1,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,2,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,2,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,2,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,2,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,2,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,2,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,2,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,2,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,3,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,3,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,3,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,3,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,3,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,3,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,3,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,3,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,4,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,4,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,4,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,4,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,4,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,4,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,4,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,4,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,5,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,5,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,5,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,5,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,5,447.6190476190476
