City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page
Mahdia,Terrain habitation ind. en vente,,186 426 DT,424 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/55383.html,,,1
Mahdia,Terrain habitation ind. en vente,,135 000 DT,246 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/48629.html,,,1
Mahdia,Terrain habitation ind. en vente,,75 620 DT,398 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49567.html,,,1
Mahdia,Terrain habitation ind. en vente,,260 000 DT,500 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/48224.html,,,1
Mahdia,Terrain habitation ind. en vente,,67 260 DT,354 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49566.html,,,1
Mahdia,Terrain habitation ind. en vente,,68 400 DT,360 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49568.html,,,1
Mahdia,Terrain habitation ind. en vente,,68 420 DT,311 m²,Chebba,https://www.tecnocasa.tn/vendre/terrain/mahdia/chebba/49919.html,,,1
Mahdia,Terrain agricole en vente,,200 000 DT,15186 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/50776.html,,,1
Mahdia,Terrain habitation ind. en vente,,190 000 DT,347 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/51847.html,,,1
Mahdia,Terrain habitation ind. en vente,,150 000 DT,259 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/55304.html,,,1
Mahdia,Terrain habitation ind. en vente,,180 000 DT,250 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/52407.html,,,1
Mahdia,Terrain habitation ind. en vente,,270 000 DT,370 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/52759.html,,,1
Mahdia,Terrain habitation ind. en vente,,231 120 DT,578 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/53205.html,,,1
Mahdia,Terrain habitation ind. en vente,,380 000 DT,761 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/53963.html,,,1
Mahdia,Terrain habitation ind. en vente,,143 000 DT,421 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/53967.html,,,1
Mahdia,Terrain habitation ind. en vente,,460 000 DT,921 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/53964.html,,,2
Mahdia,Terrain habitation ind. en vente,,200 000 DT,200 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/54055.html,,,2
Mahdia,Terrain habitation ind. en vente,,121 500 DT,270 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/54442.html,,,2
Mahdia,Terrain habitation ind. en vente,,153 000 DT,307 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/54061.html,,,2
Mahdia,Terrain habitation ind. en vente,,99 000 DT,207 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/54062.html,,,2
Mahdia,Terrain habitation ind. en vente,,165 000 DT,275 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/54063.html,,,2
Mahdia,Terrain habitation ind. en vente,,151 000 DT,252 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/54064.html,,,2
Mahdia,Terrain habitation ind. en vente,,239 000 DT,390 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/54657.html,,,2
Mahdia,Terrain habitation ind. en vente,,180 000 DT,622 m²,"Mahdia, Rue zgena - Cité Erraoudha",https://www.tecnocasa.tn/vendre/terrain/mahdia/mahdia/52269.html,,,2
Mahdia,Terrain habitation ind. en vente,,1 700 000 DT,1537 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/54678.html,,,2
Mahdia,Terrain agricole en vente,,47 720 DT,317 m²,"Rejiche, Rejiche centre ville",https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/50616.html,,,2
Mahdia,Terrain agricole en vente,,45 700 DT,318 m²,"Rejiche, Rue Rejiche",https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/50617.html,,,2
Mahdia,Terrain habitation ind. en vente,,160 000 DT,356 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/36658.html,,,2
Mahdia,Terrain habitation ind. en vente,,320 000 DT,424 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/53313.html,,,2
Mahdia,Terrain habitation ind. en vente,,205 000 DT,360 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/53443.html,,,2
Mahdia,Terrain habitation ind. en vente,,107 000 DT,453 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/44579.html,,,3
Mahdia,Terrain habitation ind. en vente,,730 000 DT,516 m²,"Rejiche, Corniche rejiche",https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/47990.html,,,3
Mahdia,Terrain habitation ind. en vente,,159 000 DT,340 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/53444.html,,,3
Mahdia,Terrain habitation ind. en vente,,251 000 DT,419 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/53099.html,,,3
Mahdia,Terrain habitation ind. en vente,,671 000 DT,1220 m²,Mahdia - Mahdia Centre-ville,https://www.tecnocasa.tn/vendre/terrain/mahdia/mahdia/34729.html,,,3
Mahdia,Terrain habitation ind. en vente,,950 000 DT,1632 m²,Mahdia - Zouila,https://www.tecnocasa.tn/vendre/terrain/mahdia/mahdia/44172.html,,,3
Mahdia,Terrain habitation ind. en vente,,408 000 DT,1570 m²,"Baghdedi, Rue Baghdedi",https://www.tecnocasa.tn/vendre/terrain/mahdia/baghdedi/52194.html,,,3
Mahdia,Terrain habitation ind. en vente,,340 000 DT,1480 m²,"Baghdedi, Rue Baghdedi",https://www.tecnocasa.tn/vendre/terrain/mahdia/baghdedi/52017.html,,,3
Mahdia,Terrain habitation ind. en vente,,266 000 DT,400 m²,"Rejiche, Rejiche plage",https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/49597.html,,,3
Mahdia,Terrain habitation ind. en vente,,95 000 DT,355 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/50949.html,,,3
Mahdia,Terrain habitation ind. en vente,,250 000 DT,221 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/47764.html,,,3
Mahdia,Terrain habitation ind. en vente,,85 000 DT,147 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/50280.html,,,3
Mahdia,Terrain habitation collective en vente,,280 000 DT,452 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/50837.html,,,3
Mahdia,Terrain habitation ind. en vente,,1 100 000 DT,602 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/49564.html,,,3
Mahdia,Terrain habitation ind. en vente,,300 000 DT,186 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/49565.html,,,3
Mahdia,Terrain habitation ind. en vente,,490 960 DT,722 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/49460.html,,,4
Mahdia,Terrain habitation ind. en vente,,675 000 DT,519 m²,"Rejiche, Rejiche zone touristique",https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/50221.html,,,4
Mahdia,Terrain habitation ind. en vente,,75 000 DT,211 m²,"Rejiche, Rejiche centre ville Rahba",https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/47849.html,,,4
Mahdia,Terrain habitation ind. en vente,,111 900 DT,373 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/42216.html,,,4
Mahdia,Terrain agricole en vente,,70 000 DT,1250 m²,Mahdia - Cité Erraoudha,https://www.tecnocasa.tn/vendre/terrain/mahdia/mahdia/38404.html,,,4
Mahdia,Terrain habitation ind. en vente,,227 400 DT,379 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/40479.html,,,4
Mahdia,Terrain habitation ind. en vente,,186 426 DT,424 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/55383.html,,,5
Mahdia,Terrain habitation ind. en vente,,135 000 DT,246 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/48629.html,,,5
Mahdia,Terrain habitation ind. en vente,,75 620 DT,398 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49567.html,,,5
Mahdia,Terrain habitation ind. en vente,,260 000 DT,500 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/48224.html,,,5
Mahdia,Terrain habitation ind. en vente,,67 260 DT,354 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49566.html,,,5
Mahdia,Terrain habitation ind. en vente,,68 400 DT,360 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49568.html,,,5
Mahdia,Terrain habitation ind. en vente,,68 420 DT,311 m²,Chebba,https://www.tecnocasa.tn/vendre/terrain/mahdia/chebba/49919.html,,,5
Mahdia,Terrain agricole en vente,,200 000 DT,15186 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/50776.html,,,5
Mahdia,Terrain habitation ind. en vente,,190 000 DT,347 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/51847.html,,,5
Mahdia,Terrain habitation ind. en vente,,150 000 DT,259 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/55304.html,,,5
Mahdia,Terrain habitation ind. en vente,,180 000 DT,250 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/52407.html,,,5
Mahdia,Terrain habitation ind. en vente,,270 000 DT,370 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/52759.html,,,5
Mahdia,Terrain habitation ind. en vente,,231 120 DT,578 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/53205.html,,,5
Mahdia,Terrain habitation ind. en vente,,380 000 DT,761 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/53963.html,,,5
Mahdia,Terrain habitation ind. en vente,,143 000 DT,421 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/53967.html,,,5
Mahdia,Terrain habitation ind. en vente,,186 426 DT,424 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/55383.html,,,6
Mahdia,Terrain habitation ind. en vente,,135 000 DT,246 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/48629.html,,,6
Mahdia,Terrain habitation ind. en vente,,75 620 DT,398 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49567.html,,,6
Mahdia,Terrain habitation ind. en vente,,260 000 DT,500 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/48224.html,,,6
Mahdia,Terrain habitation ind. en vente,,67 260 DT,354 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49566.html,,,6
Mahdia,Terrain habitation ind. en vente,,68 400 DT,360 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/49568.html,,,6
Mahdia,Terrain habitation ind. en vente,,68 420 DT,311 m²,Chebba,https://www.tecnocasa.tn/vendre/terrain/mahdia/chebba/49919.html,,,6
Mahdia,Terrain agricole en vente,,200 000 DT,15186 m²,Ksour Essef,https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/50776.html,,,6
Mahdia,Terrain habitation ind. en vente,,190 000 DT,347 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/51847.html,,,6
Mahdia,Terrain habitation ind. en vente,,150 000 DT,259 m²,Rejiche,https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/55304.html,,,6
Mahdia,Terrain habitation ind. en vente,,180 000 DT,250 m²,Salakta,https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/52407.html,,,6
