City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page
Monastir,Terrain habitation ind. en vente,,715 200 DT,596 m²,Monastir - Skanes La Falaise,https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55742.html,,,1
Monastir,Terrain agricole en vente,,220 000 DT,687 m²,"Bekalta, Rue Dimess",https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/52015.html,,,1
Monastir,Terrain habitation ind. en vente,,345 000 DT,299 m²,Monastir - Cité Erriadh,https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55453.html,,,1
Monastir,Terrain habitation ind. en vente,,666 000 DT,1200 m²,"Teboulba, Beach pavillion 1 [1], 5080 TÉBOULBA (ms)",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/54942.html,,,1
Monastir,Terrain habitation collective en vente,,850 000 DT,1700 m²,"Teboulba, Fadhelin 7 [7], 5080 TÉBOULBA (ms)",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/55509.html,,,1
Monastir,Terrain habitation ind. en vente,,60 000 DT,302 m²,"Teboulba, Avenue taieb el mheri moknine",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/54828.html,,,1
Monastir,Terrain agricole en vente,,920 368 DT,11224 m²,"Teboulba, Rue  rass hriz",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/55243.html,,,1
Monastir,Terrain habitation collective en vente,,365 000 DT,921 m²,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/55387.html,,,1
Monastir,Terrain habitation ind. en vente,,280 000 DT,235 m²,"Monastir, Rue mahmoud abbes - Skanes",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/53490.html,,,1
Monastir,Terrain habitation ind. en vente,,330 000 DT,236 m²,"Monastir, Rue mahmoud abbes - Skanes",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/54813.html,,,1
Monastir,Terrain habitation collective en vente,,120 000 DT,120 m²,"Monastir, Ksibet El Mediouni - Ksibet El Mediouni",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55377.html,,,1
Monastir,Terrain habitation collective en vente,,195 000 DT,257 m²,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/53990.html,,,1
Monastir,Terrain habitation ind. en vente,,90 000 DT,178 m²,"Monastir, Nadhour, Ksibet elmediouni - Ksibet El Mediouni",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55322.html,,,1
Monastir,Terrain agricole en vente,,"<span class=""trattativaRiservata"">Informations en agence</span>",1250 m²,Bekalta,https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/53631.html,,,1
Monastir,Terrain habitation ind. en vente,,47 000 DT,169 m²,"Bekalta, Hmedet Younes",https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/54376.html,,,1
Monastir,Terrain agricole en vente,,"<span class=""trattativaRiservata"">Informations en agence</span>",6582 m²,Bekalta,https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/54829.html,,,2
Monastir,Terrain habitation collective en vente,,165 000 DT,397 m²,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/54217.html,,,2
Monastir,Terrain habitation collective en vente,,287 000 DT,586 m²,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/50875.html,,,2
Monastir,Terrain habitation collective en vente,,840 000 DT,1062 m²,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/49875.html,,,2
Monastir,Terrain agricole en vente,,110 000 DT,343 m²,"Monastir, Rue Zone Frina 2 - Frina",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/55161.html,,,2
Monastir,Terrain habitation ind. en vente,,240 000 DT,1050 m²,"Monastir, Ksibet el mediouni cité nadhour - Ksibet El Mediouni",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/49784.html,,,2
Monastir,Terrain habitation ind. en vente,,51 000 DT,182 m²,"Bekalta, Rue mohamed taii",https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/53287.html,,,2
Monastir,Terrain habitation ind. en vente,,47 000 DT,167 m²,"Bekalta, Hmedet Younes",https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/54378.html,,,2
Monastir,Terrain habitation ind. en vente,,"<span class=""trattativaRiservata"">Informations en agence</span>",580 m²,"Bekalta, Rue Mahdia",https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/52918.html,,,2
Monastir,Terrain agricole en vente,,115 000 DT,677 m²,"Bekalta, Rue Zbid",https://www.tecnocasa.tn/vendre/terrain/monastir/bekalta/52016.html,,,2
Monastir,Terrain habitation ind. en vente,,122 100 DT,222 m²,"Sahline, Sidi ameur",https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/54716.html,,,2
Monastir,Terrain habitation ind. en vente,,800 DT,444 m²,"Monastir, 8 cité 18 Janvier, Houmet Jbel, Ksibet Elmediouni - Ksibet El Mediouni",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/54726.html,,,2
Monastir,Terrain habitation ind. en vente,,290 000 DT,150 m²,Monastir - Monastir Centre-Ville,https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/54633.html,,,2
Monastir,Terrain habitation collective en vente,,344 000 DT,404 m²,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/54467.html,,,2
Monastir,Terrain habitation ind. en vente,,155 650 DT,283 m²,"Sahline, Rue sahline",https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/54444.html,,,2
Monastir,Terrain habitation ind. en vente,,136 950 DT,249 m²,"Sahline, Rue sahline",https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/53705.html,,,3
Monastir,Terrain habitation ind. en vente,,165 000 DT,375 m²,"Monastir, Ksibet El Mediouni - Ksibet El Mediouni",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/54101.html,,,3
Monastir,Terrain habitation collective en vente,,160 000 DT,333 m²,"Sahline, Rue sahline",https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/51082.html,,,3
Monastir,Terrain habitation collective en vente,,192 500 DT,456 m²,"Bembla, Rue liberté bembla",https://www.tecnocasa.tn/vendre/terrain/monastir/bembla/53240.html,,,3
Monastir,Terrain habitation ind. en vente,,150 000 DT,300 m²,"Teboulba, Rue Ezzahra [20], 5080 TÉBOULBA (ms)",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/53771.html,,,3
Monastir,Terrain habitation ind. en vente,,122 650 DT,273 m²,"Sahline, Rue sahline",https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/53245.html,,,3
Monastir,Terrain habitation collective en vente,,650 000 DT,1475 m²,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/45291.html,,,3
Monastir,Terrain habitation ind. en vente,,250 000 DT,468 m²,"Teboulba, Rue al kodes",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/53538.html,,,3
Monastir,Terrain habitation ind. en vente,,130 000 DT,343 m²,"Teboulba, Av Fadhlin",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/53503.html,,,3
Monastir,Terrain habitation ind. en vente,,180 000 DT,250 m²,Monastir - Monastir Centre-Ville,https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/53338.html,,,3
Monastir,Terrain habitation collective en vente,,88 200 DT,252 m²,"Teboulba, Rue Fadhlin",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/53272.html,,,3
Monastir,Terrain agricole en vente,,237 000 DT,1698 m²,"Teboulba, Rue de boudrisse",https://www.tecnocasa.tn/vendre/terrain/monastir/teboulba/53386.html,,,3
Monastir,Terrain habitation collective en vente,,110 000 DT,384 m²,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/39853.html,,,3
Monastir,Terrain habitation ind. en vente,,249 750 DT,555 m²,"Sahline, Rue Sahline",https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/53247.html,,,3
Monastir,Terrain agricole en vente,,1 750 760 DT,15916 m²,"Sahline, Rue sahline",https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/51781.html,,,3
Monastir,Terrain habitation collective en vente,,175 000 DT,204 m²,"Monastir, Rue frina 5080 a cote de confortex - Frina",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/53277.html,,,4
Monastir,Terrain agricole en vente,,1 028 550 DT,6857 m²,"Sahline, Rue sahline",https://www.tecnocasa.tn/vendre/terrain/monastir/sahline/53046.html,,,4
Monastir,Terrain habitation collective en vente,,620 000 DT,830 m²,"Monastir, Av. Habib Bourguiba - Ksibet El Mediouni",https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/52991.html,,,4
Monastir,Terrain habitation ind. en vente,,498 000 DT,293 m²,Monastir - Monastir Centre-Ville,https://www.tecnocasa.tn/vendre/terrain/monastir/monastir/49410.html,,,4
Monastir,Terrain habitation collective en vente,,1 240 000 DT,1054 m²,Ksar Hellal,https://www.tecnocasa.tn/vendre/terrain/monastir/ksar-hellal/43038.html,,,4
