City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page
Sousse,Terrain habitation ind. en vente,,310 000 DT,459 m²,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/43392.html,,,1
Sousse,Terrain habitation ind. en vente,,237 000 DT,304 m²,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55397.html,,,1
Sousse,Terrain habitation ind. en vente,,247 000 DT,353 m²,"Sousse Centre Ville, Rue Farabi - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/48067.html,,,1
Sousse,Terrain habitation ind. en vente,,435 000 DT,414 m²,Sousse Centre Ville - Bouhsina,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/54114.html,,,1
Sousse,Terrain habitation collective en vente,,401 000 DT,501 m²,"Sousse Riadh, Avenue imam abou hannifa - Cité Riadh",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-riadh/52625.html,,,1
Sousse,Terrain habitation ind. en vente,,271 000 DT,417 m²,"M'Saken, Cité Ennour",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/55601.html,,,1
Sousse,Terrain habitation ind. en vente,,440 000 DT,553 m²,Sousse Centre Ville - Bouhsina,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55281.html,,,1
Sousse,Terrain habitation ind. en vente,,220 000 DT,399 m²,"Hergla, Rue nozha",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/55436.html,,,1
Sousse,Terrain habitation ind. en vente,,167 400 DT,372 m²,"M'Saken, Rue m'saken",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/55313.html,,,1
Sousse,Terrain habitation ind. en vente,,111 000 DT,285 m²,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/53411.html,,,1
Sousse,Terrain habitation collective en vente,,544 000 DT,544 m²,"Sousse Centre Ville, Hamid El Ghazeli - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/51531.html,,,1
Sousse,Terrain habitation ind. en vente,,310 000 DT,565 m²,"Hergla, Centre ville Hergla",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/54710.html,,,1
Sousse,Terrain industriel en vente,,550 000 DT,1100 m²,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/54458.html,,,1
Sousse,Terrain habitation ind. en vente,,232 000 DT,830 m²,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/52883.html,,,1
Sousse,Terrain habitation ind. en vente,,850 000 DT,446 m²,Sousse Centre Ville - La Corniche,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/54870.html,,,1
Sousse,Terrain habitation ind. en vente,,244 000 DT,544 m²,"Hergla, Centre ville hergla",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/54711.html,,,2
Sousse,Terrain habitation ind. en vente,,920 000 DT,546 m²,Hammam Sousse,https://www.tecnocasa.tn/vendre/terrain/sousse/hammam-sousse/54604.html,,,2
Sousse,Terrain habitation ind. en vente,,300 000 DT,481 m²,"Hergla, Rue hergla",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/54693.html,,,2
Sousse,Terrain agricole en vente,,117 000 DT,1241 m²,"Chott Meriam, Rue foukaya",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/54370.html,,,2
Sousse,Terrain habitation ind. en vente,,320 000 DT,511 m²,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/50889.html,,,2
Sousse,Terrain habitation ind. en vente,,1 116 000 DT,744 m²,"Hammam Sousse, Rue Azzaourek",https://www.tecnocasa.tn/vendre/terrain/sousse/hammam-sousse/53008.html,,,2
Sousse,Terrain habitation ind. en vente,,185 000 DT,463 m²,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/50893.html,,,2
Sousse,Terrain habitation ind. en vente,,310 000 DT,496 m²,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/50885.html,,,2
Sousse,Terrain habitation ind. en vente,,300 000 DT,490 m²,"Sousse Centre Ville, Rue Mosquée - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/50156.html,,,2
Sousse,Terrain habitation ind. en vente,,160 000 DT,372 m²,"M'Saken, terrain rue krousseya",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/45233.html,,,2
Sousse,Terrain habitation collective en vente,,214 000 DT,390 m²,"Chott Meriam, Rue foukaya",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/53973.html,,,2
Sousse,Terrain habitation collective en vente,,895 000 DT,358 m²,"Sousse Centre Ville, Rue Docteur Moureau - Cité Hached - Jawhara",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/50773.html,,,2
Sousse,Terrain agricole en vente,,60 000 DT,526 m²,"Hergla, Accès Stade Napolles Zone Agricole Hergla",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/53591.html,,,2
Sousse,Terrain habitation ind. en vente,,205 000 DT,299 m²,"Hergla, Cité Nozha",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/50230.html,,,2
Sousse,Terrain habitation ind. en vente,,316 000 DT,395 m²,"Hammam Sousse, Rue Jaafar Majed",https://www.tecnocasa.tn/vendre/terrain/sousse/hammam-sousse/40435.html,,,2
Sousse,Terrain habitation ind. en vente,,477 000 DT,636 m²,Sousse Centre Ville - Bouhsina,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/50977.html,,,3
Sousse,Terrain habitation ind. en vente,,155 000 DT,271 m²,"M'Saken, Rue msaken",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/51323.html,,,3
Sousse,Terrain habitation ind. en vente,,187 200 DT,288 m²,"M'Saken, Rue M'saken",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/52763.html,,,3
Sousse,Terrain habitation ind. en vente,,215 150 DT,331 m²,"M'Saken, Rue msaken",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/52761.html,,,3
Sousse,Terrain habitation ind. en vente,,"<span class=""trattativaRiservata"">Informations en agence</span>",1600 m²,"Hergla, Cité Nozha",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/53400.html,,,3
Sousse,Terrain habitation collective en vente,,540 000 DT,601 m²,Sahloul - Sahloul 1-2,https://www.tecnocasa.tn/vendre/terrain/sousse/sahloul/40958.html,,,3
Sousse,Terrain habitation ind. en vente,,215 000 DT,342 m²,Kalâa Seghira - Cité El Manazah,https://www.tecnocasa.tn/vendre/terrain/sousse/kalaa-seghira/52518.html,,,3
Sousse,Terrain habitation collective en vente,,505 000 DT,562 m²,"Chott Meriam, Pres targui",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/52236.html,,,3
Sousse,Terrain habitation collective en vente,,110 000 DT,428 m²,"Chott Meriam, Rue ouled ben zina",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/48763.html,,,3
Sousse,Terrain agricole en vente,,220 000 DT,600 m²,"Chott Meriam, Rue Rmila",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/52055.html,,,3
Sousse,Terrain agricole en vente,,131 325 DT,1545 m²,"Sidi Bou Ali, Sidi bouali",https://www.tecnocasa.tn/vendre/terrain/sousse/sidi-bou-ali/51756.html,,,3
Sousse,Terrain agricole en vente,,85 000 DT,1000 m²,"Sidi Bou Ali, Sidi Bouali",https://www.tecnocasa.tn/vendre/terrain/sousse/sidi-bou-ali/51752.html,,,3
Sousse,Terrain agricole en vente,,204 000 DT,2147 m²,"Chott Meriam, Rue foukaya",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/51977.html,,,3
Sousse,Terrain agricole en vente,,80 000 DT,211 m²,"Chott Meriam, Rue kousour gharnata",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/50730.html,,,3
Sousse,Terrain agricole en vente,,83 000 DT,417 m²,"Chott Meriam, Rue ouled oune",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/51662.html,,,3
Sousse,Terrain habitation ind. en vente,,264 000 DT,379 m²,"Chott Meriam, Rue targi",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/49606.html,,,4
Sousse,Terrain agricole en vente,,280 000 DT,800 m²,"Chott Meriam, Rue rmila",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/51659.html,,,4
Sousse,Terrain habitation ind. en vente,,209 000 DT,381 m²,"Chott Meriam, Prés de targi",https://www.tecnocasa.tn/vendre/terrain/sousse/chott-meriam/49835.html,,,4
