extraction_date,source,extraction_method,city,property_type,city_name,property_type_name,active_status,id,title,subtitle,url,price_text,previous_price_text,surface_text,discount_text,is_discounted,exclusive,best_offer,country,ad_type,price,previous_price,surface,discount,agency_id,agency_name,images_count,main_image,property_id,location,_id,_rev,updated_date,created_date,price_history,rooms
2025-06-30T14:35:38.629232,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,45233,Terrain habitation ind. en vente,"M'Saken, terrain rue krousseya",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/45233.html,167 000 DT,160 000 DT,372 m²,-7 000 DT,False,False,False,tn,estate,167000.0,160000.0,372.0,7000.0,ssca7,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca7/estates/45233/images/203531/card.jpeg,aacecb6f876139f2,"M'Saken, terrain rue krousseya",aacecb6f876139f2,2-75856060d755f7b6a38d071fa188748a,2025-06-30T14:36:01.162709,2025-06-30T14:35:11.122981,"[{'price': 167000, 'date': '2025-06-30T14:35:11.122989'}]",
2025-06-30T14:35:38.629588,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,55848,Terrain habitation ind. en vente,Kalâa Seghira - El Kaala Essagira,https://www.tecnocasa.tn/vendre/terrain/sousse/kalaa-seghira/55848.html,160 000 DT,,255 m²,,False,False,False,tn,estate,160000.0,,255.0,,sscb1,,1,https://cdn-media.medialabtc.it/tn/agencies/sscb1/estates/55848/images/296063/card.jpeg,f0521f74f18112c9,Kalâa Seghira - El Kaala Essagira,f0521f74f18112c9,2-283722c44f46e5b44a5f83ba5e9f6167,2025-06-30T14:36:01.169386,2025-06-30T14:35:11.129651,"[{'price': 160000, 'date': '2025-06-30T14:35:11.129661'}]",
2025-06-30T14:35:38.629626,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,55563,Terrain habitation ind. en vente,"Sousse Centre Ville, Hamed ghazeli - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55563.html,250 000 DT,,391 m²,,False,False,False,tn,estate,250000.0,,391.0,,ssca3,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55563/images/295909/card.jpeg,d73d6d0e1ad8ad0b,"Sousse Centre Ville, Hamed ghazeli - Bouhsina",d73d6d0e1ad8ad0b,2-538e07021af9cad0cac34c5c6d5a62da,2025-06-30T14:36:01.175442,2025-06-30T14:35:11.134543,"[{'price': 250000, 'date': '2025-06-30T14:35:11.134551'}]",
2025-06-30T14:35:38.629647,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,55683,Terrain habitation ind. en vente,"Sousse Centre Ville, Hamed el ghazeli - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55683.html,138 000 DT,,212 m²,,False,False,False,tn,estate,138000.0,,212.0,,ssca3,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55683/images/295951/card.jpeg,9e73985303b67bcb,"Sousse Centre Ville, Hamed el ghazeli - Bouhsina",9e73985303b67bcb,2-50dfdefdfddf78f7ba815e0bb3be8fae,2025-06-30T14:36:01.185799,2025-06-30T14:35:11.139245,"[{'price': 138000, 'date': '2025-06-30T14:35:11.139253'}]",
2025-06-30T14:35:38.629665,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,55686,Terrain habitation ind. en vente,"Sousse Centre Ville, Hamed El Ghazeli - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55686.html,196 000 DT,,262 m²,,False,False,False,tn,estate,196000.0,,262.0,,ssca3,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55686/images/295950/card.jpeg,86f596c23dde192f,"Sousse Centre Ville, Hamed El Ghazeli - Bouhsina",86f596c23dde192f,2-03821c8a098fa9868d2ffb2b6ec52f16,2025-06-30T14:36:01.190967,2025-06-30T14:35:11.144364,"[{'price': 196000, 'date': '2025-06-30T14:35:11.144374'}]",
2025-06-30T14:35:38.629680,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,55822,Terrain habitation ind. en vente,"Sousse Centre Ville, Boukhzar sousse - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55822.html,185 000 DT,,320 m²,,False,False,False,tn,estate,185000.0,,320.0,,ssca3,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55822/images/295745/card.jpeg,8f206307e2deb701,"Sousse Centre Ville, Boukhzar sousse - Bouhsina",8f206307e2deb701,2-be5fc183761eca1abec526892e258c19,2025-06-30T14:36:01.196952,2025-06-30T14:35:11.149334,"[{'price': 185000, 'date': '2025-06-30T14:35:11.149341'}]",
2025-06-30T14:35:38.629694,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,53008,Terrain habitation ind. en vente,"Hammam Sousse, Rue Azzaourek",https://www.tecnocasa.tn/vendre/terrain/sousse/hammam-sousse/53008.html,1 116 000 DT,,744 m²,,False,False,False,tn,estate,1116000.0,,744.0,,sscb3,,1,https://cdn-media.medialabtc.it/tn/agencies/sscb3/estates/53008/images/269450/card.jpeg,8d297d7961ffa600,"Hammam Sousse, Rue Azzaourek",8d297d7961ffa600,2-2f98778966204a2b74108051e1dc053b,2025-06-30T14:36:01.204117,2025-06-30T14:35:11.155276,"[{'price': 1116000, 'date': '2025-06-30T14:35:11.155286'}]",
2025-06-30T14:35:38.629708,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,43392,Terrain habitation ind. en vente,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/43392.html,310 000 DT,321 000 DT,459 m²,11 000 DT,False,False,False,tn,estate,310000.0,321000.0,459.0,11000.0,ssca3,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/43392/images/295282/card.jpeg,474dc6172c304070,"Sousse Centre Ville, Cité olympique - Bouhsina",474dc6172c304070,2-aea329ebc1072677bd6ce4b2d78183d7,2025-06-30T14:36:01.209170,2025-06-30T14:35:11.160711,"[{'price': 310000, 'date': '2025-06-30T14:35:11.160722'}]",
2025-06-30T14:35:38.629727,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,55397,Terrain habitation ind. en vente,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55397.html,237 000 DT,,304 m²,,False,False,False,tn,estate,237000.0,,304.0,,ssca3,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55397/images/295263/card.jpeg,5d16c3239cccc105,"Sousse Centre Ville, Cité olympique - Bouhsina",5d16c3239cccc105,2-e237ab27753434f672e6d0aa5afc3c53,2025-06-30T14:36:01.214725,2025-06-30T14:35:11.165523,"[{'price': 237000, 'date': '2025-06-30T14:35:11.165530'}]",
2025-06-30T14:35:38.629742,tecnocasa.tn,json,sousse,terrain,Sousse,Terrain,active,48067,Terrain habitation ind. en vente,"Sousse Centre Ville, Rue Farabi - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/48067.html,247 000 DT,265 000 DT,353 m²,18 000 DT,True,False,False,tn,estate,247000.0,265000.0,353.0,18000.0,ssca3,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/48067/images/243452/card.jpeg,02d2c6b45e40045c,"Sousse Centre Ville, Rue Farabi - Bouhsina",02d2c6b45e40045c,2-033c25410be19cd69eaf34c2920b5639,2025-06-30T14:36:01.221023,2025-06-30T14:35:11.170535,"[{'price': 247000, 'date': '2025-06-30T14:35:11.170541'}]",
